  layers 0-39, all 384 experts each, scale region only
  layer  MB read       rows  distinct  entropy  max range       <=3       <=7
      0    424.7  3,735,552         7    0.985          5  99.9970% 100.0000%
      1    424.7  3,735,552         8    0.978          5  99.9990% 100.0000%
      2    424.7  3,735,552         6    0.994          5  99.9997% 100.0000%
      3    424.7  3,735,552         6    0.999          4  99.9999% 100.0000%
      4    424.7  3,735,552         6    0.997          4 100.0000% 100.0000%
      5    424.7  3,735,552         6    0.996          4 100.0000% 100.0000%
      6    424.7  3,735,552         6    0.995          4  99.9999% 100.0000%
      7    424.7  3,735,552         7    0.997          5  99.9995% 100.0000%
      8    424.7  3,735,552         6    0.995          4  99.9999% 100.0000%
      9    424.7  3,735,552         5    0.993          3 100.0000% 100.0000%
     10    424.7  3,735,552         5    0.990          4  99.9999% 100.0000%
     11    424.7  3,735,552         7    0.989          5  99.9998% 100.0000%
     12    424.7  3,735,552         6    0.988          4  99.9998% 100.0000%
     13    424.7  3,735,552         9    0.992          5  99.9934% 100.0000%
     14    424.7  3,735,552         6    0.992          5  99.9976% 100.0000%
     15    424.7  3,735,552         7    1.012          4  99.9993% 100.0000%
     16    424.7  3,735,552         6    0.990          4  99.9994% 100.0000%
     17    424.7  3,735,552         6    0.992          5  99.9994% 100.0000%
     18    424.7  3,735,552         8    0.999          5  99.9988% 100.0000%
     19    424.7  3,735,552         7    1.002          5  99.9993% 100.0000%
     20    424.7  3,735,552         7    0.992          5  99.9991% 100.0000%
     21    424.7  3,735,552         9    0.993          5  99.9962% 100.0000%
     22    424.7  3,735,552         7    0.997          5  99.9987% 100.0000%
     23    424.7  3,735,552         7    1.002          5  99.9989% 100.0000%
     24    424.7  3,735,552         7    0.996          5  99.9986% 100.0000%
     25    424.7  3,735,552         8    0.997          6  99.9997% 100.0000%
     26    424.7  3,735,552         8    1.000          6  99.9997% 100.0000%
     27    424.7  3,735,552         8    0.999          6  99.9994% 100.0000%
     28    424.7  3,735,552         8    1.000          6  99.9998% 100.0000%
     29    424.7  3,735,552         6    1.001          5  99.9998% 100.0000%
     30    424.7  3,735,552         6    1.001          5  99.9997% 100.0000%
     31    424.7  3,735,552         8    0.999          5  99.9998% 100.0000%
     32    424.7  3,735,552         7    1.002          5  99.9994% 100.0000%
     33    424.7  3,735,552         6    1.003          4  99.9995% 100.0000%
     34    424.7  3,735,552         7    1.002          6  99.9973% 100.0000%
     35    424.7  3,735,552         7    1.006          5  99.9987% 100.0000%
     36    424.7  3,735,552         8    1.025          6  99.9978% 100.0000%
     37    424.7  3,735,552         9    1.029          5  99.9881% 100.0000%
     38    424.7  3,735,552        10    1.023          5  99.9642% 100.0000%
     39    424.7  3,735,552        11    1.031          7  99.7965% 100.0000%

  worst intra-row range over all layers: 7
  rows with range <= 7 (3 bits + base, lossless): 100.000000% of 149,422,080
== ALL DONE ==
