
  short: 94 tokens, accept 4.33, ~22 steps, hit 0.8769, nvme 150.32 GB
  counter            total s   ms/step
  attn_s                0.65     29.94
  moe_s                 3.14    144.64
  kernel_s            -56.18  -2587.87
  route_s              12.28    565.66
  load_wait_s          47.04   2166.84
  lease_s               0.05      2.30
  h2d_s                51.86   2388.87
  nvme_read_s         131.71   6067.07
  engram_s              0.50     23.17
  engram_read_s         4.08    187.99

  long: 126 tokens, accept 3.24, ~39 steps, hit 0.8921, nvme 175.23 GB
  counter            total s   ms/step
  attn_s                0.10      2.57
  moe_s                 4.67    120.09
  kernel_s            -66.35  -1706.14
  route_s              16.55    425.57
  load_wait_s          54.46   1400.40
  lease_s               0.06      1.54
  h2d_s                63.00   1620.00
  nvme_read_s         155.41   3996.26
  engram_s              0.67     17.15
  engram_read_s         6.21    159.66
== ALL DONE ==
